track_id,spotify_id,genre,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,spectral_rolloff_mean,spectral_rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,percussive_mean,percussive_var,tempo,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_var,mfccs_2_var,mfccs_3_var,mfccs_4_var,mfccs_5_var,mfccs_6_var,mfccs_7_var,mfccs_8_var,mfccs_9_var,mfccs_10_var,mfccs_11_var,mfccs_12_var,mfccs_13_var,mfccs_14_var,mfccs_15_var,mfccs_16_var,mfccs_17_var,mfccs_18_var,mfccs_19_var,mfccs_20_var
TRACOHF128F1498509,2dYV68n5uCXD5nM8BWQ7kp,Blues,0.41859326,0.08552493,0.16460216,0.0031492836,2422.787336037698,611785.6817612085,2477.0390169442853,129042.09731104728,5160.5211759868425,1817464.4710812874,0.1062727619830827,0.00357777801846641,-1.5132376e-06,0.011209095,1.5516507e-05,0.0103068175,184.5703125,-61.966995,89.6412,1.7684187,35.09102,-1.1825968,13.845193,-6.399148,5.181787,-6.5047636,0.76294255,-3.184157,1.8238059,-6.427885,1.9298091,-2.7834563,0.51736724,-3.8008707,-1.1727084,-4.2795587,-0.0047314004,3423.5085,943.59375,502.16794,284.3075,129.12299,119.49846,67.22675,58.276665,62.192413,71.1728,44.012833,51.133583,49.566227,40.40846,29.998304,50.843784,40.419537,34.325436,45.519016,56.176296
TRADWSG128F4259317,0vIDfDI97KVq7kg4ocBvQh,Blues,0.42461884,0.088908434,0.18340617,0.0031502408,2416.614707526341,741200.4352561993,2634.367730366326,341191.8577988916,5463.766961348684,4271656.2386496905,0.09573249530075188,0.003001559979569629,1.0605429e-05,0.014660614,0.00013301842,0.012794645,151.99908088235293,-80.728264,88.55991,4.520612,16.216528,15.976779,10.620299,-1.6568531,12.633739,-3.3338137,3.8536968,-0.7359298,-0.24394818,-3.6799982,-0.20843422,-2.3893397,-0.5260706,-3.818754,-2.191039,-5.478861,-0.2293084,3905.2754,1103.6554,810.6088,339.09442,298.44592,133.05449,167.84593,97.5148,116.532135,77.057495,68.74873,68.55435,78.19501,71.636185,62.95504,38.027496,55.126198,48.782616,44.157394,38.596657
TRAELUY128F93147BA,0qj9p9Jk3G0SLeahCgpONf,Blues,0.30713966,0.09195641,0.123202674,0.0026735812,2423.0918071609676,346761.73293172487,2933.620652192878,122059.5742992333,6123.605828536184,2584185.265797987,0.07829387922932331,0.0020837391054281864,-1.6612884e-06,0.010887782,-5.139705e-05,0.0031883407,135.99917763157896,-135.87878,85.9077,25.887314,15.919243,14.164515,-4.281132,2.3977365,0.7469922,-8.609246,4.0662303,-5.2570434,7.1850896,-3.1615467,0.03479308,-7.485631,-1.7693583,-6.4520297,-3.328006,-4.7361913,-1.4438095,2932.3997,461.923,408.21625,179.37357,91.57687,90.58786,95.538,62.613926,55.93317,73.506386,98.7144,68.00251,68.32404,69.46475,76.80186,48.69305,47.59761,66.85357,72.791695,68.02447
TRAHVWB128F9308FB0,00XnhVt221ZFSrfVWjXVrU,Blues,0.38941714,0.0820094,0.19093682,0.00041260922,1988.3577693785173,409460.73403360037,2006.3657102571665,128460.83991792411,3818.2578638980262,1513246.1073689188,0.10757606907894737,0.002042922286775964,-8.899732e-07,0.017583707,3.917373e-05,0.0071119443,99.38401442307692,-30.837109,117.09638,-29.383644,26.652561,-2.1392298,8.187275,-9.354092,7.0390515,-4.7657,5.354415,-7.704553,1.0571539,-4.507367,2.7292366,-1.9826504,-0.9221617,-2.3909485,1.4391564,1.2723668,-0.5706332,756.9084,698.6595,321.39636,141.46562,79.412636,65.34131,63.031895,44.88668,36.404793,41.06081,48.89057,40.935165,42.23204,34.742203,43.457375,37.234562,52.858143,39.3243,63.122818,53.30029
TRAJGIO128F92E84BC,00cOHD13FTdpvaIBtqhxEp,Blues,0.2942765,0.0852634,0.11100662,0.00071601727,1865.0752926511516,181142.73943045383,1881.551220301818,75397.42116446677,3674.5682565789475,868999.9999531088,0.09767827772556391,0.0008330627120944939,-0.0025033907,0.0075065694,-0.0017678626,0.0022247185,112.34714673913044,-110.24118,121.42479,-33.87345,24.426292,-15.171748,10.939404,-9.760812,-0.82727206,-5.7177286,-7.26841,-10.502594,8.239221,-8.568427,2.659454,-7.72542,0.7994108,-3.8695793,2.9704778,-2.9612432,1.4296744,2948.2358,727.5923,392.2688,78.94502,121.53542,132.17297,76.13497,46.089905,54.887043,39.292133,46.795673,39.835587,58.044876,54.388927,42.287704,52.46758,46.717823,48.28017,41.795303,38.903534
TRAOPNA128F427E83F,0SAYYtWNB7GNlbWEfpK0hc,Blues,0.3345294,0.08704252,0.07466953,0.0009168711,1672.6502515187542,385224.73015956784,1731.2426514722388,193917.187326927,3217.9995888157896,1767956.250456892,0.08060679041353383,0.0016333466906754844,8.884508e-06,0.003058826,6.67784e-05,0.0016801796,161.4990234375,-189.02875,133.06529,-34.54719,24.515268,-16.517485,-0.71245605,-6.799216,-9.063049,-11.617924,-12.560632,-20.164543,-6.820232,-11.043914,-10.822442,-9.062896,-4.523608,-12.84596,-0.39918184,-7.4875827,-6.6275434,4801.655,1123.9692,804.85156,282.96228,255.7401,142.18205,112.23564,79.43311,57.84661,101.00562,90.09165,93.21796,57.87605,55.96559,62.29247,40.173725,46.48193,40.823772,33.25519,46.51992
TRAQGFP128E078FAB6,0GaOghjTy3KsCm8NEOEmoG,Blues,0.44160566,0.07117207,0.12494453,0.0002329347,3407.0203468332215,100982.58234397648,2795.761275642354,23153.076942138585,6764.4210012335525,310548.64538673544,0.20748281837406016,0.0012709310146566634,-1.806554e-06,0.0075992956,-9.167736e-05,0.0025561159,135.99917763157896,-31.021656,47.00213,0.91046757,36.499096,0.434763,4.28544,-3.5238643,4.8270254,-5.3294797,4.343589,0.8988416,8.519355,1.5051575,2.919768,-6.5468345,-2.2003183,-5.387522,7.827947,-1.7830286,-4.713747,138.4252,128.18402,102.67321,52.382595,42.332302,42.681694,26.557335,32.612118,32.393047,26.08203,18.78645,39.902267,34.90613,38.25473,38.06615,41.201168,22.841068,23.472084,24.71907,25.240128
TRARJEK128F930B3AA,0IwGFYvQJZ9SFBv7YPXWoR,Blues,0.3823824,0.080047496,0.14374511,0.00037680677,2368.5028833099796,187624.58771834892,2462.090988073617,51627.078298107,5011.0030324835525,761601.5722282706,0.11016065554511278,0.0010479835086710156,3.1506745e-06,0.011821098,-5.2048366e-05,0.003129465,123.046875,-61.836082,86.07592,-7.6809044,31.978008,8.789704,17.344748,-1.2181998,2.8659077,-3.7860212,4.9393873,-0.08171013,3.4306676,2.5773685,3.231947,-2.9310658,6.1261444,3.1084366,1.5228143,-0.97752416,6.3812613,979.80426,258.56314,181.768,64.96919,63.73472,40.85762,47.03041,51.713177,38.806564,43.472763,40.322433,31.0012,56.417213,48.565582,73.8786,60.00035,40.91558,55.55856,70.56114,44.10604
TRATLTV128F92FC979,05BHgprhhZ82hnvZqfUQDq,Blues,0.36205074,0.090755306,0.11715196,0.00087591086,2516.028321300599,542472.99680924,2520.677201850064,118659.83328116151,5364.6008943256575,1456951.9342544007,0.10851224741541353,0.0041722637808163186,2.351582e-06,0.008475933,2.6983387e-05,0.0025170713,112.34714673913044,-114.91252,75.598854,8.156524,49.377262,-3.5212333,11.25968,-0.5055184,8.352625,-6.950642,1.6346208,-3.3591583,2.5223007,-0.9978447,-2.4996653,-0.8957335,6.642717,-4.1088076,-0.2588127,-1.7575383,1.405621,4880.6816,577.5873,287.37564,564.4736,148.71278,47.84574,192.11497,86.21577,75.11318,56.08247,50.933155,50.458664,41.89815,49.25685,66.13017,40.27976,59.382156,65.234406,49.44425,57.663204
TRAUJPR128F92CA3AF,0BalaVC6BL2N36lbH8limi,Blues,0.39961702,0.078238,0.20969109,0.003234148,1906.4615255625713,416963.8919526936,2116.718740838375,182793.26474616918,3798.5056023848683,2031824.030912484,0.09029164708646617,0.002198653275313348,4.8061993e-06,0.027843582,-7.328846e-05,0.0072431425,63.02400914634146,-44.66293,116.587135,-17.591396,25.619839,11.7360325,5.1028204,-1.4627199,15.939156,1.5825785,5.3104377,-6.626486,0.42924535,2.1381233,-0.6810691,-6.1758385,-0.77431107,-0.35938892,3.2458758,-2.2812772,2.9868665,1805.9835,757.27704,338.92807,90.40147,90.511345,84.28198,53.700417,61.450466,40.782528,62.743465,46.577282,36.87658,64.75829,48.017284,33.151905,23.226606,33.041843,31.32593,27.859337,30.933332
