Feature,Classifier,Accuracy,Normalization
chroma_stft_mean,KNN Euclidean,0.14,Scaled
chroma_stft_mean,KNN Cosine,0.07333333333333333,Scaled
chroma_stft_mean,Random Forest,0.11,Scaled
chroma_stft_mean,SVC,0.11333333333333333,Scaled
chroma_stft_mean,XGB,0.13,Scaled
chroma_stft_mean,KNN Euclidean,0.14,Normalized
chroma_stft_mean,KNN Cosine,0.07333333333333333,Normalized
chroma_stft_mean,Random Forest,0.11,Normalized
chroma_stft_mean,SVC,0.08333333333333333,Normalized
chroma_stft_mean,XGB,0.13,Normalized
chroma_stft_var,KNN Euclidean,0.08666666666666667,Scaled
chroma_stft_var,KNN Cosine,0.07,Scaled
chroma_stft_var,Random Forest,0.11,Scaled
chroma_stft_var,SVC,0.12,Scaled
chroma_stft_var,XGB,0.13333333333333333,Scaled
chroma_stft_var,KNN Euclidean,0.08666666666666667,Normalized
chroma_stft_var,KNN Cosine,0.07,Normalized
chroma_stft_var,Random Forest,0.11333333333333333,Normalized
chroma_stft_var,SVC,0.07666666666666666,Normalized
chroma_stft_var,XGB,0.13333333333333333,Normalized
rms_mean,KNN Euclidean,0.07666666666666666,Scaled
rms_mean,KNN Cosine,0.08666666666666667,Scaled
rms_mean,Random Forest,0.07333333333333333,Scaled
rms_mean,SVC,0.07,Scaled
rms_mean,XGB,0.09666666666666666,Scaled
rms_mean,KNN Euclidean,0.07666666666666666,Normalized
rms_mean,KNN Cosine,0.08666666666666667,Normalized
rms_mean,Random Forest,0.07333333333333333,Normalized
rms_mean,SVC,0.04,Normalized
rms_mean,XGB,0.09666666666666666,Normalized
rms_var,KNN Euclidean,0.09666666666666666,Scaled
rms_var,KNN Cosine,0.03666666666666667,Scaled
rms_var,Random Forest,0.09333333333333334,Scaled
rms_var,SVC,0.1,Scaled
rms_var,XGB,0.1,Scaled
rms_var,KNN Euclidean,0.09666666666666666,Normalized
rms_var,KNN Cosine,0.03666666666666667,Normalized
rms_var,Random Forest,0.09333333333333334,Normalized
rms_var,SVC,0.04666666666666667,Normalized
rms_var,XGB,0.1,Normalized
spectral_centroid_mean,KNN Euclidean,0.06333333333333334,Scaled
spectral_centroid_mean,KNN Cosine,0.07,Scaled
spectral_centroid_mean,Random Forest,0.08,Scaled
spectral_centroid_mean,SVC,0.11,Scaled
spectral_centroid_mean,XGB,0.08,Scaled
spectral_centroid_mean,KNN Euclidean,0.06333333333333334,Normalized
spectral_centroid_mean,KNN Cosine,0.07,Normalized
spectral_centroid_mean,Random Forest,0.08,Normalized
spectral_centroid_mean,SVC,0.08333333333333333,Normalized
spectral_centroid_mean,XGB,0.08,Normalized
spectral_centroid_var,KNN Euclidean,0.06666666666666667,Scaled
spectral_centroid_var,KNN Cosine,0.056666666666666664,Scaled
spectral_centroid_var,Random Forest,0.07333333333333333,Scaled
spectral_centroid_var,SVC,0.10333333333333333,Scaled
spectral_centroid_var,XGB,0.09,Scaled
spectral_centroid_var,KNN Euclidean,0.06666666666666667,Normalized
spectral_centroid_var,KNN Cosine,0.056666666666666664,Normalized
spectral_centroid_var,Random Forest,0.07333333333333333,Normalized
spectral_centroid_var,SVC,0.05333333333333334,Normalized
spectral_centroid_var,XGB,0.09,Normalized
spectral_bandwidth_mean,KNN Euclidean,0.06,Scaled
spectral_bandwidth_mean,KNN Cosine,0.08333333333333333,Scaled
spectral_bandwidth_mean,Random Forest,0.04666666666666667,Scaled
spectral_bandwidth_mean,SVC,0.07666666666666666,Scaled
spectral_bandwidth_mean,XGB,0.07333333333333333,Scaled
spectral_bandwidth_mean,KNN Euclidean,0.06,Normalized
spectral_bandwidth_mean,KNN Cosine,0.08333333333333333,Normalized
spectral_bandwidth_mean,Random Forest,0.04666666666666667,Normalized
spectral_bandwidth_mean,SVC,0.056666666666666664,Normalized
spectral_bandwidth_mean,XGB,0.07333333333333333,Normalized
spectral_bandwidth_var,KNN Euclidean,0.09,Scaled
spectral_bandwidth_var,KNN Cosine,0.07,Scaled
spectral_bandwidth_var,Random Forest,0.08,Scaled
spectral_bandwidth_var,SVC,0.07666666666666666,Scaled
spectral_bandwidth_var,XGB,0.10333333333333333,Scaled
spectral_bandwidth_var,KNN Euclidean,0.09,Normalized
spectral_bandwidth_var,KNN Cosine,0.07,Normalized
spectral_bandwidth_var,Random Forest,0.08,Normalized
spectral_bandwidth_var,SVC,0.05333333333333334,Normalized
spectral_bandwidth_var,XGB,0.10333333333333333,Normalized
spectral_rolloff_mean,KNN Euclidean,0.07,Scaled
